Forward	Even Strength Utilization Base	Team
445 Lane Pederson	0.018307291666666666	Vancouver Canucks
446 Radim Zohorna	0.017941176470588235	Calgary Flames
447 Chris Tierney	0.01738562091503268	Florida Panthers
448 Nikolaj Ehlers	0.015084175084175084	Winnipeg Jets
449 Drew O'Connor	0.013434343434343436	Pittsburgh Penguins
450 Thomas Novak	0.012267025089605735	Nashville Predators
451 Anthony Richard	0.010353535353535354	Montréal Canadiens
452 Steven Fogarty	0.009747474747474748	Minnesota Wild
453 Givani Smith	0.009746732026143791	Florida Panthers
454 Riley Tufte	0.009256535947712419	Dallas Stars
455 Justin Kirkland	0.00786764705882353	Anaheim Ducks
456 Josh Dunne	0.006519097222222223	Columbus Blue Jackets
457 Matthew Phillips	0.006070261437908496	Calgary Flames
458 Andreas Johnsson	0.004781144781144781	New Jersey Devils
459 Ondrej Kase	0.004612794612794613	Carolina Hurricanes
