Forward	Penalty Kill Utilization Corrected	Team
437 Emil Bemstrom	0.17342405100640484	Columbus Blue Jackets
438 Kirill Marchenko	0.17342405100640484	Columbus Blue Jackets
439 Fredrik Olofsson	0.17342405100640484	Dallas Stars
440 Matt Luff	0.17342405100640484	Detroit Red Wings
441 Robby Fabbri	0.17342405100640484	Detroit Red Wings
442 Klim Kostin	0.17342405100640484	Edmonton Oilers
443 Patric Hornqvist	0.17342405100640484	Florida Panthers
444 Samuel Fagemo	0.17342405100640484	Los Angeles Kings
445 Alex Belzile	0.17342405100640484	Montréal Canadiens
446 Alexander Holtz	0.17342405100640484	New Jersey Devils
447 Ross Johnston	0.17342405100640484	New York Islanders
448 Aatu Raty	0.17342405100640484	New York Islanders
449 Sammy Blais	0.17342405100640484	New York Rangers
450 Vitali Kravtsov	0.17342405100640484	New York Rangers
451 Kieffer Bellows	0.17342405100640484	Philadelphia Flyers
452 Kevin Labanc	0.17342405100640484	San Jose Sharks
453 Evgeny Svechnikov	0.17342405100640484	San Jose Sharks
454 Michael Eyssimont	0.17342405100640484	San Jose Sharks
455 John Hayden	0.17342405100640484	Seattle Kraken
456 Daniel Sprong	0.17342405100640484	Seattle Kraken
457 Josh Leivo	0.17342405100640484	St. Louis Blues
458 Logan Brown	0.17342405100640484	St. Louis Blues
459 Pat Maroon	0.17342405100640484	Tampa Bay Lightning
460 Wayne Simmonds	0.17342405100640484	Toronto Maple Leafs
461 Dryden Hunt	0.17342405100640484	Toronto Maple Leafs
462 Bobby McMann	0.17342405100640484	Toronto Maple Leafs
463 Lane Pederson	0.17342405100640484	Vancouver Canucks
464 Pavel Dorofeyev	0.17342405100640484	Vegas Golden Knights
465 Jonathan Marchessault	0.17342405100640484	Vegas Golden Knights
466 Michael Amadio	0.17342405100640484	Vegas Golden Knights
467 Nikolaj Ehlers	0.17342405100640484	Winnipeg Jets
